anzsco_code,anzsco_name,anzsco_name_2016,anzsco_name_2011,level,nfd
5910,"Logistics Clerks, nfd","Logistics Clerks, nfd",Logistics Clerks nfd,4,1
5911,Purchasing and Supply Logistics Clerks,Purchasing and Supply Logistics Clerks,Purchasing and Supply Logistics Clerks,4,0
5912,Transport and Despatch Clerks,Transport and Despatch Clerks,Transport and Despatch Clerks,4,0
5990,"Miscellaneous Clerical and Administrative Workers, nfd","Miscellaneous Clerical and Administrative Workers, nfd",Miscellaneous Clerical and Administrative Workers nfd,4,1
5991,Conveyancers and Legal Executives,Conveyancers and Legal Executives,Conveyancers and Legal Executives,4,0
5992,Court and Legal Clerks,Court and Legal Clerks,Court and Legal Clerks,4,0
5993,Debt Collectors,Debt Collectors,Debt Collectors,4,0
5994,Human Resource Clerks,Human Resource Clerks,Human Resource Clerks,4,0
5995,Inspectors and Regulatory Officers,Inspectors and Regulatory Officers,Inspectors and Regulatory Officers,4,0
5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors","Insurance Investigators, Loss Adjusters and Risk Surveyors","Insurance Investigators, Loss Adjusters and Risk Surveyors",4,0
5997,Library Assistants,Library Assistants,Library Assistants,4,0
5999,Other Miscellaneous Clerical and Administrative Workers,Other Miscellaneous Clerical and Administrative Workers,Other Miscellaneous Clerical and Administrative Workers,4,0
6000,"Sales Workers, nfd","Sales Workers, nfd",Sales Workers nfd,4,1
6100,"Sales Representatives and Agents, nfd","Sales Representatives and Agents, nfd",Sales Representatives and Agents nfd,4,1
6110,"Insurance Agents and Sales Representatives, nfd","Insurance Agents and Sales Representatives, nfd",Insurance Agents and Sales Representatives nfd,4,1
6111,"Auctioneers, and Stock and Station Agents","Auctioneers, and Stock and Station Agents","Auctioneers, and Stock and Station Agents",4,0
6112,Insurance Agents,Insurance Agents,Insurance Agents,4,0
6113,Sales Representatives,Sales Representatives,Sales Representatives,4,0
6121,Real Estate Sales Agents,Real Estate Sales Agents,Real Estate Sales Agents,4,0
6210,"Sales Assistants and Salespersons, nfd","Sales Assistants and Salespersons, nfd",Sales Assistants and Salespersons nfd,4,1
6211,Sales Assistants (General),Sales Assistants (General),Sales Assistants (General),4,0
6212,ICT Sales Assistants,ICT Sales Assistants,ICT Sales Assistants,4,0
6213,Motor Vehicle and Vehicle Parts Salespersons,Motor Vehicle and Vehicle Parts Salespersons,Motor Vehicle and Vehicle Parts Salespersons,4,0
6214,Pharmacy Sales Assistants,Pharmacy Sales Assistants,Pharmacy Sales Assistants,4,0
6215,Retail Supervisors,Retail Supervisors,Retail Supervisors,4,0
6216,Service Station Attendants,Service Station Attendants,Service Station Attendants,4,0
6217,Street Vendors and Related Salespersons,Street Vendors and Related Salespersons,Street Vendors and Related Salespersons,4,0
6219,Other Sales Assistants and Salespersons,Other Sales Assistants and Salespersons,Other Sales Assistants and Salespersons,4,0
